match_id,giornata,season,date_str,home_team,home_team_code,away_team,away_team_code,home_score,away_score,status,difficolta_home,difficolta_away
2026_G05_BOL_TOR,5,2026/2027,Sat Sep 19 15:00,Bologna,BOL,Torino,TOR,,,SCHEDULED,2,2
2026_G05_UDI_CAG,5,2026/2027,Sat Sep 19 15:00,Udinese,UDI,Cagliari,CAG,,,SCHEDULED,1,1
2026_G05_ROM_INT,5,2026/2027,Sat Sep 19 18:00,Roma,ROM,Inter,INT,,,SCHEDULED,3,2
2026_G05_VEN_LAZ,5,2026/2027,Sat Sep 19 20:45,Venezia,VEN,Lazio,LAZ,,,SCHEDULED,2,1
2026_G05_FIO_NAP,5,2026/2027,Sun Sep 20 12:30,Fiorentina,FIO,Napoli,NAP,,,SCHEDULED,3,2
2026_G05_EMP_COM,5,2026/2027,Sun Sep 20 15:00,Empoli,EMP,Como,COM,,,SCHEDULED,1,1
2026_G05_PAR_GEN,5,2026/2027,Sun Sep 20 15:00,Parma,PAR,Genoa,GEN,,,SCHEDULED,1,1
2026_G05_JUV_ATA,5,2026/2027,Sun Sep 20 18:00,Juventus,JUV,Atalanta,ATA,,,SCHEDULED,3,3
2026_G05_MIL_LEC,5,2026/2027,Sun Sep 20 20:45,Milan,MIL,Lecce,LEC,,,SCHEDULED,1,3
2026_G06_ATA_VEN,6,2026/2027,Sun Oct 11 15:00,Atalanta,ATA,Venezia,VEN,,,SCHEDULED,1,3
2026_G06_VER_MIL,6,2026/2027,Sun Oct 11 15:00,Verona,VER,Milan,MIL,,,SCHEDULED,3,1
2026_G06_LEC_BOL,6,2026/2027,Sun Oct 11 15:00,Lecce,LEC,Bologna,BOL,,,SCHEDULED,2,1
2026_G06_INT_PAR,6,2026/2027,Sun Oct 11 15:00,Inter,INT,Parma,PAR,,,SCHEDULED,1,3
2026_G06_LAZ_MON,6,2026/2027,Sun Oct 11 15:00,Lazio,LAZ,Monza,MON,,,SCHEDULED,1,2
2026_G06_CAG_JUV,6,2026/2027,Sun Oct 11 15:00,Cagliari,CAG,Juventus,JUV,,,SCHEDULED,3,1
2026_G06_COM_ROM,6,2026/2027,Sun Oct 11 15:00,Como,COM,Roma,ROM,,,SCHEDULED,2,1
2026_G06_NAP_EMP,6,2026/2027,Sun Oct 11 15:00,Napoli,NAP,Empoli,EMP,,,SCHEDULED,1,3
2026_G06_TOR_UDI,6,2026/2027,Sun Oct 11 15:00,Torino,TOR,Udinese,UDI,,,SCHEDULED,1,2
2026_G06_GEN_FIO,6,2026/2027,Sun Oct 11 15:00,Genoa,GEN,Fiorentina,FIO,,,SCHEDULED,2,1
2026_G07_MIL_ATA,7,2026/2027,Sun Oct 18 15:00,Milan,MIL,Atalanta,ATA,,,SCHEDULED,3,3
2026_G07_JUV_LAZ,7,2026/2027,Sun Oct 18 15:00,Juventus,JUV,Lazio,LAZ,,,SCHEDULED,2,3
2026_G07_BOL_INT,7,2026/2027,Sun Oct 18 15:00,Bologna,BOL,Inter,INT,,,SCHEDULED,3,2
2026_G07_ROM_GEN,7,2026/2027,Sun Oct 18 15:00,Roma,ROM,Genoa,GEN,,,SCHEDULED,1,2
2026_G07_EMP_VER,7,2026/2027,Sun Oct 18 15:00,Empoli,EMP,Verona,VER,,,SCHEDULED,1,1
2026_G07_UDI_LEC,7,2026/2027,Sun Oct 18 15:00,Udinese,UDI,Lecce,LEC,,,SCHEDULED,1,1
2026_G07_VEN_NAP,7,2026/2027,Sun Oct 18 15:00,Venezia,VEN,Napoli,NAP,,,SCHEDULED,3,1
2026_G07_MON_CAG,7,2026/2027,Sun Oct 18 15:00,Monza,MON,Cagliari,CAG,,,SCHEDULED,1,1
2026_G07_FIO_COM,7,2026/2027,Sun Oct 18 15:00,Fiorentina,FIO,Como,COM,,,SCHEDULED,1,2
2026_G07_PAR_TOR,7,2026/2027,Sun Oct 18 15:00,Parma,PAR,Torino,TOR,,,SCHEDULED,2,1
2026_G08_UDI_MIL,8,2026/2027,Sun Oct 25 15:00,Udinese,UDI,Milan,MIL,,,SCHEDULED,3,1
2026_G08_CAG_BOL,8,2026/2027,Sun Oct 25 15:00,Cagliari,CAG,Bologna,BOL,,,SCHEDULED,2,1
2026_G08_COM_VER,8,2026/2027,Sun Oct 25 15:00,Como,COM,Verona,VER,,,SCHEDULED,1,1
2026_G08_ATA_EMP,8,2026/2027,Sun Oct 25 15:00,Atalanta,ATA,Empoli,EMP,,,SCHEDULED,1,3
2026_G08_INT_FIO,8,2026/2027,Sun Oct 25 15:00,Inter,INT,Fiorentina,FIO,,,SCHEDULED,2,3
2026_G08_NAP_ROM,8,2026/2027,Sun Oct 25 15:00,Napoli,NAP,Roma,ROM,,,SCHEDULED,2,3
2026_G08_LAZ_PAR,8,2026/2027,Sun Oct 25 15:00,Lazio,LAZ,Parma,PAR,,,SCHEDULED,1,2
2026_G08_LEC_JUV,8,2026/2027,Sun Oct 25 15:00,Lecce,LEC,Juventus,JUV,,,SCHEDULED,3,1
2026_G08_TOR_MON,8,2026/2027,Sun Oct 25 15:00,Torino,TOR,Monza,MON,,,SCHEDULED,1,2
2026_G08_GEN_VEN,8,2026/2027,Sun Oct 25 15:00,Genoa,GEN,Venezia,VEN,,,SCHEDULED,1,1
2026_G09_MIL_BOL,9,2026/2027,Wed Oct 28 15:00,Milan,MIL,Bologna,BOL,,,SCHEDULED,2,3
2026_G09_VEN_INT,9,2026/2027,Wed Oct 28 15:00,Venezia,VEN,Inter,INT,,,SCHEDULED,3,1
2026_G09_FIO_ATA,9,2026/2027,Wed Oct 28 15:00,Fiorentina,FIO,Atalanta,ATA,,,SCHEDULED,3,2
2026_G09_GEN_JUV,9,2026/2027,Wed Oct 28 15:00,Genoa,GEN,Juventus,JUV,,,SCHEDULED,3,1
